Gene	Established_log2.FC.	Established_q_value
Gm5801	0.258817	0.878497
Mcpt8	1.09348	0.00139332
Ctsg	-0.483887	0.850577
Gzme	0.31523	0.474965
Gzmd	-0.0522309	0.979033
Gzmg	-0.00799027	0.996211
Gzmn	1.37126	0.218864
Gzmc	-0.711233	0.0111593
Gzmb	-2.07152	0.00139332
Cenpj	-0.247523	0.791419
Pspc1	-0.0685464	0.964051
Zmym5	0.172294	0.826129
Gja3	-0.752823	1
Gjb2	2.73162	0.00139332
Cryl1	0.0415205	0.988839
N6amt2	-0.251631	0.733729
Xpo4	0.0497092	0.97771
Lats2	0.634768	0.0139991
Ska3	-0.439873	0.390386
1700129C05Rik	0	1
Gm5142	0	1
Gm6904	0.889916	0.363985
Phf11b	2.50823	0.00956169
Cdadc1	-0.0864219	0.962685
Atp8a2	-1.28716	0.2285
Tnfrsf19	-0.63904	0.55209
Sgcg	-0.0405364	1
Ebpl	-0.218858	0.776169
Kpna3	0.0208642	0.992015
Spryd7	0.076578	0.964202
Dleu2	-0.742575	0.75609
Ints6	-0.147349	0.87524
Fdft1	0.144348	0.986649
Neil2	0.0425359	0.994256
Gata4	0.333787	1
Mtmr9	-0.0614463	0.970626
Msra	-0.0637512	0.980171
Hmbox1	0.244787	0.709427
Extl3	0.0341345	0.984602
Fzd3	-0.0528091	0.983218
Elp3	-0.329507	0.34851
Esco2	-0.714141	0.0700642
Scara3	-0.40984	0.205437
Ephx2	-0.233664	0.880374
Ptk2b	0.926287	0.00139332
1700001G11Rik	-1.09971	0.848541
Dpysl2	0.0733922	0.962685
Bnip3l	0.20032	0.682427
Ppp2r2a	0.160348	0.796568
Cdca2	-0.620366	0.0674934
Dock5	0.681372	0.00800689
Nefm	-0.12424	0.979907
Adam7	0	1
Adam28	-0.196458	1
Slc25a37	0.944019	0.00139332
Synb	1.74207	1
R3hcc1	-0.0854383	0.953751
Chmp7	0.0181489	0.99394
Rhobtb2	-0.0102561	0.996124
9930012K11Rik	0.0411934	0.992015
Pdlim2	0.359925	0.334715
Sorbs3	0.359672	0.339128
Ppp3cc	-0.0674618	0.97521
Slc39a14	-0.0748036	0.953547
Piwil2	-0.0792188	0.980982
Polr3d	0.563687	0.0674934
Bmp1	-0.0791613	0.951333
Fam160b2	-0.0745404	0.965476
Xpo7	-0.0186008	0.993096
Fndc3a	-0.674232	0.00457135
Rb1	0.180815	0.846492
Mir687	0	1
Itm2b	0.447322	0.15777
Nudt15	0.102382	0.984602
Lrch1	0.110686	0.951146
Spert	0	1
Cog3	0.266343	0.599881
Slc25a30	-0.0820976	0.95458
Gtf2f2	0.0829179	0.958879
Serp2	-0.152721	0.955554
Lacc1	0.0694852	0.967861
Gm1587	0	1
Dnajc15	-0.106086	0.951333
Mir1971	0	1
Tnfsf11	-0.76315	0.00546107
Akap11	0.079509	0.938935
Dgkh	0.0175677	0.994961
Rgcc	-1.14266	0.00139332
Naa16	0.106024	0.951333
Wbp4	0.073289	0.978858
Lect1	-4.68675	0.359338
Gm10845	0.263364	0.827535
9630013A20Rik	0	1
Diap3	-0.23289	0.736175
Pcdh20	0.447793	0.516445
Pcdh9	0.716899	0.25269
Klhl1	-1.02415	1
Dach1	1.19625	1
Mzt1	-0.0145683	0.994961
Dis3	0.101909	0.938935
Klf12	0.122991	0.937028
Tbc1d4	-0.706694	0.141169
Commd6	-0.124758	0.928674
Kctd12	-0.783954	0.00139332
Fbxl3	0.151858	0.832868
Mycbp2	-0.316412	0.550512
Ednrb	-2.43007	0.00139332
Pou4f1	1.0261	1
Rnf219	-0.111215	0.939861
Spry2	0.851784	0.00631591
Slitrk1	0.884015	1
Slitrk6	-0.234161	0.793851
Tgds	-0.0566141	0.978858
Abcc4	0.047386	0.982588
Dzip1	-0.394583	0.47447
Uggt2	-0.145652	0.860788
Oxgr1	0.881204	1
Stk24	0.00302133	0.997727
Slc15a1	-0.17231	1
Dock9	0.58999	0.220967
Gpr18	0.959164	0.928709
Gpr183	0.700864	0.897928
A330035P11Rik	-0.263153	0.8988
1700108J01Rik	0	1
Zic5	1.41579	1
Ggact	-0.347696	0.580293
Nalcn	0.338185	1
Fgf14	0.366542	1
Sepp1	0.0576731	0.967999
Oxct1	-0.308487	0.391974
Plcxd3	0	1
Rpl37	-0.122853	0.874185
Snord72	0	1
Prkaa1	0.0887751	0.931563
Ttc33	-0.222642	0.774004
Dab2	0.435771	0.12068
C9	0.640771	1
Fyb	1.16877	0.00139332
Rictor	0.653777	0.0227291
Lifr	-0.906378	0.00139332
Gdnf	0.58673	0.203249
Nup155	-0.158115	0.815995
2410089E03Rik	-0.0260289	0.991906
Ranbp3l	-0.86385	0.428066
Lmbrd2	0.180537	0.793864
Ugt3a1	0	1
Ugt3a2	0	1
Capsl	0.662551	1
Prlr	-1.65166	0.0103957
Agxt2	0	1
Rad1	-0.38737	0.51095
Gm10389	0.160941	1
C1qtnf3	-1.06761	0.00139332
Amacr	-0.297458	0.669658
Slc45a2	1.43085	1
Zfr	0.0990325	0.911844
Mir1898	0	1
Mtmr12	0.313298	0.586073
Golph3	0.122397	0.876692
Drosha	-0.0852934	0.937959
Cdh10	1.24118	0.00139332
Cdh12	0.289874	1
Cdh18	1.39448	0.0172429
Gm5468	1.81914	1
Myo10	0.121386	0.918643
Fam134b	0.531933	0.229556
Zfp622	0.173282	0.821767
March11	1.20062	1
Mir297-1	0	1
Ank	-0.102744	0.913
Ctnnd2	0.119946	1
Dap	-0.0320582	0.984602
Cmbl	0.0352272	0.995109
Fam173b	-0.184656	0.869101
Tas2r119	0	1
Sema5a	-0.93177	0.0134126
Sdc2	0.113734	0.8896
Cpq	0.517949	0.0636904
Mtdh	0.256726	0.566956
Laptm4b	0.145517	0.86107
Matn2	-0.642325	0.0134126
Pop1	-0.178828	0.830353
Kcns2	0.317384	1
Osr2	-0.423126	0.655358
Vps13b	0.0155628	0.994961
Polr2k	-0.100423	0.95458
Spag1	0.157114	0.949258
Atp6v1c1	0.410824	0.204304
Baalc	-0.87286	0.27531
Fzd6	0.340821	0.700705
Cthrc1	-0.315441	0.399156
Dcaf13	0.20936	0.722449
Rims2	0.358872	1
Dcstamp	-0.196745	0.899902
Zfpm2	1.21239	0.00139332
Emc2	0.00465615	0.997335
Trhr	-1.91402	1
Eny2	-0.095144	0.952057
Pkhd1l1	0.564187	1
Ebag9	0.00902186	0.996603
A930017M01Rik	-0.680445	1
Utp23	0.0585156	0.979033
Aard	0.614268	0.742422
Slc30a8	0	1
Med30	-0.189639	0.852439
Colec10	-0.430252	1
Nov	-0.711999	0.00546107
Deptor	-0.218863	0.844065
Mtbp	-0.262401	0.668869
Zhx2	-0.418306	0.38176
Fam83a	-0.880263	1
Wdyhv1	-0.484434	0.427209
D15Ertd621e	0.172545	0.763937
Trmt12	-0.166194	0.906566
Sqle	0.240023	0.612983
Nsmce2	0.0133859	0.995109
Trib1	0.591333	0.0760275
9930014A18Rik	0.890391	0.700835
Myc	0.818878	0.00139332
Efr3a	0.0425986	0.979033
Phf20l1	0.326721	0.409364
Tg	0.189538	0.937028
Wisp1	0.33701	0.351128
Khdrbs3	0.0895607	0.951333
Chrac1	0.109017	0.979301
Dennd3	-0.0380433	0.994961
Ptp4a3	0.0835884	0.951333
Bai1	-0.84433	1
4933427E11Rik	-0.092484	0.994961
Psca	0	1
Them6	-0.816588	0.164283
Ly6e	0.563582	0.0331708
Ly6f	0.126407	1
Zfp41	-0.618618	0.280232
Rhpn1	-0.0492228	0.993051
Gsdmd	0.985641	0.00139332
Tigd5	-0.304295	0.98282
Zfp623	-0.0118363	0.995736
Zfp707	-0.424676	0.590688
Mapk15	0.0923477	1
Grina	0.47106	0.104724
Smpd5	-0.509681	1
Exosc4	-0.265691	0.780027
Gpaa1	-0.22105	0.679999
Cyc1	-0.0612107	0.962703
Maf1	-0.0646493	0.967999
Mroh1	0.0904609	0.972764
Scx	0.805553	0.805041
Hsf1	0.0859852	0.944606
Slc52a2	-0.0494963	0.982163
Adck5	0.0168849	0.996124
Kifc2	-0.153248	0.955363
Mfsd3	-0.202539	0.923555
Lrrc14	-0.240122	0.725595
Rpl8	-0.2168	0.694274
1110038F14Rik	-0.273079	0.681221
Apol6	-0.669762	0.146237
Apol11a	0	1
Gm8221	2.31566	1
Apol9b	2.12091	0.00139332
Ncf4	0.751857	0.134772
Csf2rb	1.63908	0.00139332
Mpst	-0.248438	0.75654
Cyth4	0.682666	0.0620384
Cdc42ep1	-0.116288	0.885403
Gga1	-0.00962766	0.995582
Lgals1	0.248136	0.66976
Nol12	0.0148513	0.994961
Triobp	0.269443	0.666269
H1f0	-0.453727	0.117134
Eif3l	-0.106373	0.896944
Micall1	0.396957	0.318393
Polr2f	-0.247869	0.698167
Gm10863	0.840149	1
Pick1	0.172102	0.915383
Maff	1.25953	0.00139332
Kdelr3	0.0805055	0.983495
Cby1	-0.290842	0.664672
Tomm22	-0.0802009	0.942235
Gtpbp1	-0.0188541	0.993849
Apobec3	-0.0315117	0.991906
Syngr1	0.582305	0.704163
Tab1	-0.331947	0.541189
Mgat3	0.39445	0.374603
Atf4	0.109067	0.903254
Cacna1i	-1.31358	1
Grap2	0.212439	1
Fam83f	1.12591	1
Adsl	-0.0747862	0.955039
Sgsm3	0.0109242	0.997725
4930483J18Rik	-2.09673	1
Mchr1	-1.1644	1
Xpnpep3	-0.229529	0.957702
Rbx1	-0.0821199	0.939725
Ep300	0.0833741	0.944702
L3mbtl2	-0.0963031	0.952433
Zc3h7b	-0.0423157	0.979033
Tef	-0.359932	0.291774
Aco2	-0.0738576	0.950154
Csdc2	-0.0454611	0.992015
Xrcc6	-0.209311	0.765353
Ccdc134	-0.155179	0.902419
Srebf2	0.0849822	0.932811
Mir33	0	1
Sept3	-0.301791	1
Wbp2nl	1.45623	1
Fam109b	-0.66375	0.224688
Cyp2d9	0	1
Cyp2d12	0	1
Serhl	-0.324946	0.874529
Bik	0.817904	0.677401
Tspo	0.254961	0.576584
Pnpla3	0.896996	1
Samm50	-0.00292104	0.997917
Parvb	0.485882	0.261237
Parvg	-0.768611	1
Prr5	-0.275583	0.708486
Arhgap8	0.134043	0.97826
Nup50	-0.00319081	0.997727
Upk3a	0	1
Fam118a	0.421774	0.35467
Ribc2	-0.996608	0.507237
Fbln1	-0.0306615	0.987203
Atxn10	-0.0491571	0.973963
Ppara	-0.589415	1
Ttc38	-0.261478	0.751949
Gtse1	-0.138507	0.874185
Trmu	-0.252291	0.837638
Gramd4	0.488169	0.110379
Tbc1d22a	0.0580833	0.974717
Fam19a5	-0.405797	0.519166
Zdhhc25	0	1
Zbed4	0.189101	0.846492
Creld2	-0.0191334	0.993121
Pim3	-0.112541	0.932811
Mov10l1	-1.42484	1
Panx2	-0.143695	1
Trabd	-0.0410887	0.983218
Ppp6r2	-0.139186	0.910513
Adm2	0.0521455	0.980982
Ncaph2	-0.372642	0.34851
Mapk8ip2	0.51455	1
Shank3	-0.434867	0.584684
Alg10b	0.197933	0.710889
Lrrk2	0.221857	0.742598
Cntn1	-0.21865	1
Pdzrn4	0.121645	0.979033
Pphln1	-0.0440538	0.979033
Irak4	-0.201398	0.871886
Tmem117	-0.743671	0.356591
Ano6	0.265027	0.541313
Gm4371	0	1
Arid2	0.024998	0.991119
Pced1b	-0.474018	0.8476
Slc48a1	0.365606	0.541313
Tmem106c	0.0232058	0.993405
Pfkm	-0.100706	0.95458
1700031M16Rik	0	1
Olfr281	0	1
9330020H09Rik	0.0175106	0.979033
4930415O20Rik	-0.323068	1
Cacnb3	0.300384	0.525709
Ccdc65	0.229991	0.906405
Wnt1	2.56532	1
Tuba1c	0.0646801	0.959936
Prph	-0.57138	1
Troap	-0.641616	0.156036
Dnajc22	-0.619761	0.718161
Spats2	0.0150399	0.994961
Kcnh3	-1.61932	1
Prpf40b	-0.0203608	0.994256
Tmbim6	-0.0124675	0.995109
Aqp2	-3.80255	0.00139332
Aqp5	-2.41446	0.00139332
Gpd1	-0.962203	0.211583
Cox14	-0.361771	0.415319
Larp4	0.382814	0.234489
Dip2b	0.111973	0.919172
Atf1	0.0507783	0.97521
Mettl7a1	-0.330774	0.584204
Mettl7a3	-0.921162	1
Letmd1	-0.283028	0.669438
Dazap2	-0.0550473	0.967861
Slc4a8	-0.353205	0.893732
Scn8a	-0.0277068	1
Ankrd33	1.63608	1
Acvrl1	0.660889	0.0185666
Acvr1b	-0.325861	0.474624
Grasp	-0.100607	0.963912
Nr4a1	1.79673	0.00139332
6030408B16Rik	-0.886468	1
Krt7	-0.943616	0.269915
Krt86	0	1
Gm6042	0	1
Krt18	-0.746266	1
Eif4b	-0.125614	0.880016
Tenc1	-0.121813	0.882973
Igfbp6	-0.451513	0.241251
Soat2	-0.460311	0.737679
Mfsd5	0.113442	0.897666
Espl1	-0.429932	0.275402
Pfdn5	-0.267835	0.525004
Myg1	-0.202004	0.793993
Sp1	-0.057866	0.965026
Amhr2	-0.336711	1
Tarbp2	0.0578306	0.977855
Hoxc13	-1.01722	0.102935
Hoxc10	0.271072	0.880374
Hoxc12	0.391072	1
Hoxc11	0.669606	0.55419
Mir196a-2	0	1
Hoxc9	0.41725	1
Hoxc8	0.164248	1
Hoxc6	-0.108286	0.984602
Hoxc5	0.412303	1
Mir615	0	1
Hoxc4	1.19123	1
Copz1	-0.149175	0.819824
Mir148b	0	1
Ccdc152	-0.841403	1
Ghr	0.443144	0.279774
Fbxo4	-0.17438	0.86107
AW549877	0.038211	0.980982
BC037032	-0.294517	1
Card6	-0.159987	0.919446
Ptger4	-0.000821708	0.998878
Osmr	-0.184462	0.765966
Egflam	-0.438434	1
Wdr70	0.107605	0.930704
Nipbl	-0.0414364	0.982588
Slc1a3	-1.50488	0.00139332
Skp2	-0.332496	0.544696
Il7r	2.82823	0.00139332
Spef2	-1.83683	0.0486778
Dnajc21	0.0909327	0.95458
Brix1	0.0424036	0.979033
Rai14	1.2327	0.00139332
Rxfp3	-0.252723	0.902398
Tars	0.17721	0.751976
Npr3	-0.333483	0.422502
Sub1	0.00101379	0.998522
Pdzd2	0.74225	0.298732
6030458C11Rik	0.00600135	0.997335
Cdh6	0.215365	0.92303
Gm5803	-0.0358873	0.995881
Basp1	0.164554	0.779507
Fbxl7	0.023066	0.99394
Fam105a	-0.288439	0.788921
Trio	0.948987	0.00139332
Ankrd33b	2.66571	0.00139332
Ropn1l	-0.0908894	0.979033
March6	0.101925	0.91146
Cct5	0.0114181	0.995109
Snord123	0	1
Tspyl5	0.268673	0.910513
Hrsp12	0.130203	0.918643
Nipal2	-0.98137	0.218864
Stk3	0.0860703	0.947519
Cox6c	0.050028	0.974017
Rgs22	0.997197	1
Rnf19a	0.359093	0.283571
Ankrd46	-0.150233	0.838603
Snx31	0.173115	1
Pabpc1	0.00761534	0.996785
Ywhaz	0.145744	0.831317
Zfp706	-0.124089	0.875608
Ncald	0.25323	0.910332
Rrm2b	0.181882	0.853759
Ubr5	0.0636741	0.962685
Azin1	0.263809	0.509617
Slc25a32	0.0169778	0.994961
Lrp12	0.183105	0.789621
Abra	1.50325	1
Angpt1	0.251619	0.607513
Rspo2	0.173459	0.772022
Eif3e	0.0783846	0.944269
Tmem74	1.1817	0.0867421
Nudcd1	-0.213939	0.859987
Sybu	-0.781507	0.515077
Kcnv1	0	1
Csmd3	0.91858	1
Eif3h	-0.112491	0.890818
Rad21	-0.188225	0.721129
Ext1	0.650898	0.00956169
Samd12	0.160551	1
Tnfrsf11b	0.755836	0.00800689
Enpp2	2.65145	0.00139332
Taf2	0.0577538	0.970932
Dscc1	-0.547738	0.588083
Mrpl13	-0.20875	0.720768
Sntb1	-0.576264	0.23569
Has2	-0.734595	0.00139332
Derl1	0.00874288	0.995582
9130401M01Rik	-0.0490552	0.979033
Zhx1	-0.0762851	0.949258
Atad2	-0.2555	0.595362
Fbxo32	-0.562756	0.0633551
Klhl38	2.19661	0.0365415
Anxa13	-0.925132	1
Tmem65	0.0730668	0.954185
Tatdn1	-0.153262	0.96393
Mtss1	0.618372	0.0570617
E430025E21Rik	0.145237	0.828509
Fam84b	1.00963	0.0709164
H2afy3	0.66467	1
Gsdmc2	0	1
Gsdmc4	1.42213	1
Fam49b	0.28557	0.55057
Asap1	0.685198	0.00254281
Adcy8	1.72017	1
Oc90	0	1
Kcnq3	1.57038	1
Tmem71	0.758671	1
Sla	1.51988	0.563492
Ndrg1	0.194756	0.729175
St3gal1	0.0947898	0.928709
Zfat	0.436755	0.492319
Mir30b	0	1
Mir30d	0	1
Fam135b	-0.666029	1
Col22a1	0.414172	1
Kcnk9	0	1
Trappc9	-0.136291	0.929695
Peg13	0.0915833	0.964051
Ptk2	0.206869	0.702614
Slc45a4	0.20243	0.760364
Gpr20	-0.0110959	1
Mroh5	0	1
Mroh4	0	1
Arc	3.21192	0.00139332
Jrk	-0.35438	0.597607
Slurp1	2.10175	1
2300005B03Rik	-0.426434	1
Lynx1	-0.172107	0.806552
Ly6d	-0.234841	1
D730001G18Rik	1.59067	1
Ly6k	-0.82496	0.547676
Cyp11b1	-0.151208	1
Cyp11b2	0	1
2010109I03Rik	0.024519	1
Ly6i	-0.843912	1
Ly6a	-0.518283	0.0515519
Ly6c1	-0.689408	0.07519
Ly6c2	-0.702835	0.477748
Top1mt	-0.277786	0.756548
Mafa	0.40015	1
Zc3h3	0.178413	0.859162
Eef1d	-0.128923	0.862631
Pycrl	-0.134562	0.909801
Tsta3	0.0327613	0.990555
Ccdc166	-0.610084	0.507382
Scrib	0.107355	0.950166
Puf60	0.0909044	0.928674
Nrbp2	-0.77838	0.0088339
Plec	0.609969	0.0278615
Mir1942	0	1
Parp10	1.04287	0.00364343
Oplah	-0.709768	0.32963
Sharpin	-0.155837	0.868604
Tssk5	0.479831	1
Bop1	0.169697	0.868551
Dgat1	0.0878743	0.962369
Scrt1	0.86289	1
Fbxl6	-0.0633399	0.970485
Cpsf1	0.0293355	0.990555
Slc39a4	2.45467	0.01975
Vps28	-0.251882	0.631787
Tonsl	-0.302308	0.677401
Cyhr1	-0.111871	0.932811
Foxh1	0.969086	1
Recql4	-0.304495	0.854966
Arhgap39	0.161422	0.909177
Zfp251	-0.18405	0.822777
Zfp647	-0.251235	0.854905
Mb	-0.0749678	0.995109
Rbfox2	0.0511905	0.972169
Apol7a	0.23974	0.924299
Apol9a	1.57152	0.00139332
Apol7b	-1.67846	1
Apol10b	1.5676	0.00139332
Apol11b	0.928516	0.40811
Apol8	2.50053	0.00139332
Myh9	0.417292	0.346414
Txn2	-0.0837089	0.934733
Foxred2	-0.0756626	0.967861
Eif3d	-0.00625605	0.996211
Cacng2	0	1
Ift27	-0.249104	0.730703
Csf2rb2	1.11327	0.0273876
Tex33	0	1
Tst	-0.480877	0.609512
Tmprss6	-0.716083	0.556835
Il2rb	-0.866197	0.43113
C1qtnf6	-0.892655	0.00139332
Sstr3	-1.81168	1
Rac2	0.812709	0.0179733
Card10	0.0762119	0.986649
Lgals2	-0.435849	0.97521
Ankrd54	-0.0959138	0.961074
1700088E04Rik	0.346305	0.920758
Sox10	0.994206	0.0316133
Slc16a8	2.81905	1
Baiap2l2	0.66658	1
Pla2g6	0.168447	0.871886
Tmem184b	0.362755	0.245735
Mir1943	0	1
Csnk1e	0.548347	0.0511872
Kcnj4	0.540382	0.768047
Ddx17	0.0773017	0.962685
Dmc1	-1.99994	1
Fam227a	-0.491961	1
Josd1	-0.26284	0.556005
Sun2	0.166145	0.782769
D730005E14Rik	-1.24151	1
Cbx7	-0.228087	0.905681
Pdgfb	0.47697	0.357406
Rpl3	-0.199237	0.759995
Snord83b	0	1
Snord43	0	1
Rps19bp1	0.12206	0.934549
Mkl1	0.305221	0.458784
Slc25a17	-0.0231107	0.992001
St13	-0.00822913	0.996124
Dnajb7	0.542787	1
Chadl	-0.192064	0.982173
Rangap1	-0.275663	0.473888
Tob2	0.0525767	0.97521
Phf5a	-0.0609606	0.97771
Polr3h	-0.0200633	0.996986
Pmm1	-0.300835	0.50909
Desi1	0.15004	0.83383
Nhp2l1	-0.0627049	0.961942
Tnfrsf13c	-1.29268	1
Cenpm	-0.941463	0.0350904
Naga	-0.130634	0.881552
Ndufa6	-0.219038	0.728575
Cyp2d22	0.2659	0.877308
Cyp2d11	0	1
Cyp2d10	0	1
Cyp2d34	0	1
Cyp2d13	0	1
Cyp2d40	0	1
Tcf20	0.274679	0.556881
Tbrg3	1.66191	1
Nfam1	0.582154	0.307416
Rrp7a	-0.0344716	0.986324
Poldip3	-0.1431	0.831221
Cyb5r3	-0.0502141	0.972169
A4galt	-0.502393	0.261237
Arfgap3	-0.0116974	0.995109
1700001L05Rik	0.247503	0.80113
Pacsin2	0.338128	0.339085
Ttll1	0.0766681	0.967861
Mcat	-0.0824696	0.964144
Ttll12	-0.135092	0.86455
Scube1	-0.761839	0.14676
Sult4a1	0.168697	0.960732
Pnpla5	0	1
1810041L15Rik	-0.925942	0.0542852
Ldoc1l	-0.101181	0.953837
Phf21b	-0.460843	0.771486
5031439G07Rik	0.258123	0.565515
Mir1249	0	1
Smc1b	-1.45706	0.0915413
Wnt7b	-0.187918	1
Cdpf1	-0.344161	0.708486
Pkdrej	-1.01094	1
Celsr1	0.336402	1
Cerk	0.286112	0.642307
Brd1	0.385829	0.325321
Alg12	-0.356762	0.588352
Mlc1	0.796184	1
Mapk12	0.363522	0.700835
Mapk11	0.374332	0.605881
Plxnb2	0.0800363	0.962339
Dennd6b	-0.237486	0.889683
Sbf1	0.1063	0.902419
Lmf2	-0.139176	0.846768
Syce3	0	1
Arsa	0.0235722	0.992564
Rabl2	-0.244021	0.807417
Cpne8	-0.257975	0.861559
Kif21a	-0.424222	0.279295
Abcd2	-0.617443	0.424241
Slc2a13	-0.292503	0.703967
Gxylt1	0.00853697	0.995881
Yaf2	0.228156	0.725595
Zcrb1	0.119422	0.918643
Prickle1	-1.07032	0.00139332
Adamts20	0.677321	0.670687
Pus7l	-0.0957735	0.977832
Twf1	0.0378831	0.980108
LOC100043315	0	1
Dbx2	3.18143	0.0147002
E330033B04Rik	0.248009	1
Scaf11	0.0588667	0.964051
Slc38a1	0.584465	0.0570617
Slc38a2	0.178781	0.775639
Slc38a4	-0.539687	0.567702
Amigo2	-0.603435	0.556117
Rpap3	0.0580072	0.97899
Endou	1.31587	1
Rapgef3	1.08007	0.00956169
Hdac7	0.190446	0.882699
Vdr	-1.18719	0.00139332
Col2a1	-0.265128	0.595362
Senp1	-0.129281	0.939454
Asb8	-0.129368	0.893036
Olfr288	0	1
Olfr287	0	1
Olfr286	0	1
H1fnt	0	1
Zfp641	-0.105245	1
Olfr257	0	1
Olfr284	0	1
Lalba	0	1
Kansl2	0.100535	0.918643
Snora2b	0	1
Adcy6	0.228908	0.704632
Fkbp11	-0.067263	0.964051
Arf3	0.271947	0.48834
Wnt10b	-0.290491	0.838216
Ddn	0.868037	1
Prkag1	-0.00885432	0.995775
Rhebl1	-0.273996	0.874734
Dhh	0.496209	0.757432
Lmbr1l	-0.0341665	0.992015
Mcrs1	-0.122733	0.902129
Fam186b	-1.17631	1
Fmnl3	-0.116856	0.884953
Nckap5l	0.2222	0.711562
Bcdin3d	-0.475409	0.636815
Faim2	-3.42839	1
Racgap1	-0.558629	0.0491698
Cers5	0.078188	0.942404
1700030F18Rik	0.302463	1
2310068J16Rik	0.298124	0.984602
Slc11a2	0.325918	0.420125
Csrnp2	-0.0912842	0.961743
Tfcp2	-0.16414	0.868695
Pou6f1	0.0870272	0.954962
Smagp	0.343888	0.902419
Cela1	-0.102961	0.972169
Galnt6	1.53641	0.00139332
Krt80	-0.253529	0.881258
Krt83	-0.666089	1
5430421N21Rik	-1.76227	1
Krt84	0.180046	1
Krt75	-1.11541	1
Gm5476	0	1
Gm5414	0	1
Gm5478	0	1
Krt6b	0	1
Krt5	-1.62527	1
Krt71	0	1
Krt74	0	1
Krt2	0	1
Krt77	0	1
Krt4	0	1
Krt78	-0.0460039	1
Krt8	-2.39845	1
Spryd3	-0.114479	0.904321
Csad	-0.021297	0.995109
Itgb7	1.1103	0.148242
Rarg	-0.239329	0.601773
Aaas	-0.43856	0.156603
Sp7	-3.84227	0.00139332
Map3k12	-0.00230386	0.998522
Atp5g2	-0.30125	0.40593
Mir688	0	1
Calcoco1	0.0294193	0.988963
Smug1	-0.141226	0.920073
Cbx5	-0.182346	0.740398
Nfe2	-2.88938	1
Gpr84	1.4822	0.00800689
Zfp385a	0.047372	0.980171
Itga5	0.610654	0.0215958
BC048502	0	1
Ppp1r1a	0.583067	0.730703
Glycam1	0	1
Olfr161	0	1
Zfp263	0.321406	0.541314
Olfr15	0	1
Zfp174	-0.35904	0.743581
Naa60	-0.298916	0.450068
Cluap1	-0.21264	0.83383
Dnase1	0.616837	1
Glis2	0.269181	0.533604
Dnaja3	-0.108888	0.909739
Hmox2	-0.0922316	0.963912
4930562C15Rik	1.00967	1
Mgrn1	0.093724	0.937028
Nudt16l1	-0.21568	0.920852
Ubn1	0.311997	0.459425
Alg1	-0.100595	0.95458
Rbfox1	0.884705	0.0379812
Mettl22	-0.0018551	0.998522
Abat	-0.59488	0.05463
Pmm2	0.148771	0.857948
1810013L24Rik	0.256691	0.627941
Rpl39l	-0.324308	0.885403
Atf7ip2	0.180219	0.960536
Nubp1	0.0402115	0.98912
Ciita	1.21651	1
Clec16a	0.135134	0.882699
Rmi2	-0.59969	0.605881
Snn	0.334129	0.708486
2610020C07Rik	0.0516563	0.996918
Snx29	0.20652	0.891726
Shisa9	2.75174	1
Ercc4	0.224931	0.835536
Mkl2	0.203006	0.756621
Mir193b	0	1
Rrn3	0.124621	0.8825
Ntan1	-0.0791283	0.984523
Mpv17l	0.132327	0.99069
2900011O08Rik	0.881711	1
Mir484	0	1
Nde1	-0.0983846	0.920852
Abcc1	0.328336	0.543072
A630010A05Rik	0	1
Snai2	-0.807972	0.00139332
Prkdc	-0.168236	0.869356
Cebpd	-0.322456	0.590597
Pkp2	1.04852	0.0331708
Yars2	0.0371743	0.990083
Top3b	-0.0330096	0.986843
Ppm1f	-0.075494	0.953751
Mapk1	-0.0576455	0.976798
Ypel1	-0.52872	0.962154
Ydjc	-0.231773	0.829309
Rimbp3	1.37077	1
Serpind1	-0.839123	0.944519
Snap29	0.241431	0.881552
Crkl	0.112694	0.899989
Lztr1	-0.23922	0.602358
P2rx6	-0.243188	0.930917
Smpd4	0.0140892	0.995109
Ccdc74a	-0.395239	0.779749
Klhl22	-0.364139	0.291833
Scarf2	-0.266471	0.533356
B830017H08Rik	-0.862489	1
Tssk1	0.519691	1
Tssk2	0.894861	1
Vpreb2	0	1
Dgcr6	-0.342209	0.544696
Rtn4r	-0.728209	0.319283
Trmt2a	-0.107334	0.95217
Arvcf	-0.643208	0.83383
Txnrd2	-0.160415	0.979301
Gnb1l	-0.302714	0.803056
Ufd1l	-0.0410928	0.984602
Olfr166	0	1
B3gnt5	-0.58716	0.458482
Klhl24	0.254669	0.607554
Yeats2	0.0374353	0.984602
Eif2b5	-0.239904	0.608622
Dvl3	0.144024	0.838403
Ap2m1	-0.21246	0.669684
Abcf3	0.030749	0.987882
Vwa5b2	0.613653	1
Mir1224	0	1
Ece2	-0.152289	0.908647
Psmd2	-0.0360256	0.982588
Eif4g1	0.20556	0.7102
Snord66	0	1
Fam131a	-0.112193	0.983984
Polr2h	0.130739	0.913
Chrd	0.355428	0.625971
Ephb3	-0.472117	0.111702
1300002E11Rik	0.111881	0.978858
Map3k13	0.28877	0.858579
Senp2	0.127985	0.881889
Dnajb11	-0.0470737	0.975648
Fetub	-0.674391	0.453794
Hrg	0	1
Kng1	-1.4198	0.00139332
Eif4a2	0.0425773	0.981073
Snord2	0	1
Snora81	1.27365	0.882699
St6gal1	0.845449	0.043602
Rtp1	-0.709171	1
Lpp	0.389858	0.26057
