chromosome	TSS	TES	Gene	h1logFC	h1pval	h3logFC	h3pval	h6logFC	h6pval	h24logFC	h24pval	d7logFC	d7pval
chr15	77414587	77426555	Apol10b	0.587497	0.2602	0.329032	0.52635	0.549364	0.24715	-0.0779454	0.86395	-0.392033	0.46435
chr15	77449397	77457828	Gm8221	-1.36981	1	-0.353539	1	-1.22955	1	-0.696413	1	-0.880922	1
chr15	77464380	77473716	Apol11b	0.924237	1	0.574437	1	1.55801	1	0.88585	1	0.697863	1
chr15	77529318	77549718	Apol7e	-0.353744	1	-0.667837	1	0	1	-1.99299	1	-2.79844	1
chr15	77559501	77566812	Apol9b	0.225746	0.6615	-0.0671841	0.90195	0.325702	0.5111	-0.138363	0.78195	0.852238	0.09935
chr15	77579042	77585659	Apol8	2.47446	0.0277	-3.50171	1	-0.865976	1	-0.877635	1	0.297255	1
chr15	77591018	77672545	Myh9	-0.881579	0.1157	-0.75792	0.32245	-1.07542	0.20035	-1.38573	0.12925	-1.35918	0.099
chr15	77745480	77759424	Txn2	0.279596	0.3729	0.282038	0.3736	0.224745	0.48325	0.244776	0.39755	0.395321	0.30835
chr15	77770951	77787152	Foxred2	-0.357691	0.45085	-0.608217	0.14375	-0.924327	0.0293	0.349149	0.3661	0.548138	0.2026
chr15	77789427	77801254	Eif3d	0.292075	0.37405	0.218814	0.4927	0.320152	0.3039	0.275469	0.35495	0.673674	0.08035
chr15	77824052	77949710	Cacng2	1.10766	1	0.638451	1	-0.206408	1	-1.75808	1	-0.0208579	1
chr15	77989892	78004538	Ift27	0.306868	0.43835	0.158999	0.67785	-0.314325	0.43455	0.551948	0.117	0.684819	0.0801
chr15	78021547	78034586	Pvalb	0	1	0	1	0	1	0	1	0	1
chr15	78075240	78093010	Ncf4	-0.0573705	0.8977	0.183165	0.67555	0.358552	0.3794	0.306412	0.4381	0.147032	0.77115
chr15	78112939	78136033	Csf2rb2	-0.262711	0.6509	0.668919	0.20595	0.272981	0.58485	-0.550418	0.3009	-0.353054	0.57635
chr15	78156419	78181431	Csf2rb	0.200955	0.70535	0.569715	0.26285	0.59635	0.18505	-0.506598	0.32445	-0.234995	0.6539
chr15	78208829	78226342	Tex33	0	1	0	1	0	1	-1.98223	1	0	1
chr15	78229985	78236289	Tst	0.503301	0.30275	0.061786	0.9078	-0.201512	0.6912	0.747947	0.0921	0.457969	0.38005
chr15	78237141	78244445	Mpst	0.248525	0.5476	-0.281328	0.49615	-0.650337	0.1061	0.684684	0.06165	0.891023	0.03015
chr15	78259057	78269733	Kctd17	0.342041	0.282	0.39004	0.2099	0.307981	0.3049	0.340483	0.23275	0.328282	0.3502
chr15	78270096	78299064	Tmprss6	-0.314621	1	-0.112477	1	-0.69246	1	0.104772	1	-1.22364	1
chr15	78310978	78325496	Il2rb	0.934713	1	1.09832	1	0.692159	1	0.333651	1	0.523908	1
chr15	78353775	78360081	C1qtnf6	0.187113	0.59705	0.210096	0.53185	-0.00602239	0.98615	0.39059	0.2277	-0.454225	0.22805
chr15	78367444	78374775	Sstr3	2.19085	1	2.20357	1	1.30735	1	0.0574859	1	0.287044	1
chr15	78389598	78403213	Rac2	0.444591	0.2824	0.272621	0.45555	0.377907	0.2958	0.778266	0.0218	0.186231	0.66285
chr15	78427476	78452449	Cyth4	-0.1327	0.7303	-0.281618	0.457	-0.223747	0.5204	0.219147	0.51365	0.438397	0.28155
chr15	78500436	78548543	Elfn2	-0.0375771	1	-2.40189	1	0	1	-2.40176	1	-1.48546	1
chr15	78586312	78603875	Mfng	0.683695	1	0.0108863	1	0.92948	1	1.20963	1	0.428085	1
chr15	78605565	78633472	Card10	-0.628703	0.26745	0.321323	0.5213	-0.642509	0.19145	-0.26849	0.5787	0.263577	0.61365
chr15	78673076	78685959	Cdc42ep1	-0.375276	0.27125	0.173793	0.5801	-0.0689804	0.82275	0.429391	0.14435	0.196968	0.5862
chr15	78673076	78685959	Lgals2	0.103368	1	-0.411563	1	0.41236	0.86575	-0.303188	1	0.690815	0.71485
chr15	78707619	78725015	Gga1	0.10268	0.75115	-0.178106	0.57565	-0.0479304	0.87365	0.257096	0.39235	0.323284	0.3416
chr15	78730215	78742482	Sh3bp1	-0.0120721	0.9714	0.284794	0.37535	-0.247995	0.46115	0.197745	0.51735	-0.137714	0.70505
chr15	78744348	78749947	Pdxp	-1.34354	0.01525	0.0657885	0.89345	0.471845	0.31025	0.266785	0.55945	-0.785687	0.15535
chr15	78757154	78760895	Lgals1	0.380238	0.31645	0.431718	0.24775	-0.0879413	0.80285	0.319225	0.36845	1.02059	0.0445
chr15	78765362	78772340	Nol12	0.188503	0.58895	0.36201	0.2795	0.0724001	0.8266	0.162924	0.60445	0.79336	0.02925
chr15	78778153	78841471	Gm10865	0.300154	1	0.513839	1	0.534587	1	0.0932898	1	0.0870234	1
chr15	78778153	78841471	Triobp	-0.548825	0.12265	-0.0664824	0.84975	-0.511531	0.13275	-0.120872	0.70485	0.0438007	0.90615
chr15	78858641	78860930	H1f0	0.090144	0.7965	-0.568522	0.11755	-0.166479	0.62505	0.266204	0.428	0.173242	0.65335
chr15	78861303	78873988	Galr3,Gcat	0.0442702	0.901	-0.0904901	0.8073	-0.284777	0.4221	0.47205	0.1448	0.47786	0.2115
chr15	78883523	78893289	Ankrd54	-0.338402	0.3571	0.256376	0.4764	0.135753	0.69575	0.136726	0.67505	0.0507693	0.89615
chr15	78905652	78924830	Eif3l	0.212292	0.5296	0.333873	0.30385	0.12583	0.69275	0.103707	0.7406	0.315659	0.4314
chr15	78939412	78971681	1700088E04Rik	-0.0683011	0.96145	-0.199738	0.883	-0.467842	0.76645	-0.328213	0.7617	-0.668057	0.63975
chr15	78939412	78971681	Micall1	0.0154851	0.96635	-0.202169	0.5806	-0.485311	0.1743	-0.797161	0.02265	-1.02411	0.01445
chr15	78971796	78982197	Polr2f	0.548943	0.13965	0.151005	0.66795	0.0762085	0.83465	0.1627	0.6331	0.359464	0.3661
chr15	78985342	78994920	Sox10	0.20476	0.65655	0.317217	0.4969	-0.471784	0.28875	-0.164183	0.7061	-1.43139	0.0123
chr15	78996495	79046831	Gm10863	-0.225509	1	0	1	-2.07353	1	-3.14249	1	-1.81554	1
chr15	79059603	79079896	Pick1	0.0570861	0.9107	-0.266007	0.6131	-0.245954	0.6095	0.425326	0.35575	0.704965	0.1618
chr15	79081445	79085178	Slc16a8	-1.60059	1	-0.30425	1	-0.903768	1	0	1	-2.62603	1
chr15	79088624	79115939	Baiap2l2	1.37379	1	0.0895608	1	0.582546	1	0.140573	1	1.48188	1
chr15	79116657	79158801	Pla2g6	-0.296837	0.4642	-0.556878	0.1611	-0.0361129	0.9238	0.172082	0.6193	0.322817	0.4271
chr15	79178107	79189506	Maff	0.59896	0.13355	-0.244994	0.54405	-1.40021	0.00375	-2.93939	5.00E-05	-2.57188	5.00E-05
chr15	79191113	79233733	Mir1943	0	1	0	1	0	1	0	1	0	1
chr15	79191113	79233733	Tmem184b	0.11207	0.7401	0.373466	0.23005	0.37203	0.24	0.13065	0.6619	-0.00418169	0.99035
chr15	79248281	79272487	Csnk1e	0.433258	0.18005	0.338379	0.2831	-0.00303606	0.9915	-0.161857	0.59245	-0.0531188	0.8773
chr15	79314143	79335671	Kcnj4	1.09129	1	-0.808534	1	-0.157725	1	0.392479	1	0.676159	1
chr15	79346837	79377171	Ddx17	-0.129226	0.78365	-0.132732	0.7729	-0.155685	0.73485	-0.241871	0.5845	-0.239791	0.6659
chr15	79346837	79377171	Kdelr3	0.170996	0.8242	0.256451	0.7465	0.370093	0.6158	0.13415	0.8507	-0.321469	0.7401
chr15	79391929	79435514	Dmc1	1.80977	1	0	1	1.93771	1	-0.0443567	1	1.84279	1
chr15	79440005	79489386	Fam227a	-1.25246	1	-0.816769	1	0.268948	1	0.0253748	1	-0.0161059	1
chr15	79489656	79498090	Cby1	0.120357	0.74605	-0.267179	0.47655	0.0652337	0.85245	0.527508	0.1087	0.467319	0.22345
chr15	79501297	79503292	Tomm22	0.233948	0.4541	0.157083	0.60155	0.115557	0.7079	0.0177651	0.95245	-0.147783	0.67735
chr15	79504679	79518302	Josd1	-0.218032	0.48415	-0.195776	0.52035	-0.0510389	0.8679	-0.0435864	0.88365	-0.00370678	0.991
chr15	79521325	79551909	Gtpbp1	0.0509126	0.8833	-0.21548	0.5115	0.0399767	0.89745	-0.0263555	0.93165	0.219235	0.53965
chr15	79554497	79572966	Sun2	0.0306136	0.93175	0.0221168	0.9463	-0.228056	0.48915	-0.185191	0.563	0.00371097	0.9921
chr15	79573127	79587824	Gm16576	-0.685788	1	-0.151908	1	-0.0788634	1	-0.0718525	1	0.36945	1
chr15	79591878	79604897	Dnalc4	0.0287727	0.92935	-0.0552979	0.87365	0.00934808	0.97765	0.497808	0.1164	0.195013	0.6082
chr15	79616780	79664763	Cbx6,Npcd,Nptxr	-0.317557	0.34855	-0.524694	0.11905	-0.354334	0.2753	-0.044464	0.88505	0.203756	0.58275
chr15	79719961	79738859	Apobec3	-0.218302	0.5526	-0.121963	0.73255	-0.0854826	0.8068	0.27208	0.4147	0.23814	0.5414
chr15	79719961	79738859	D730005E14Rik	-0.157173	1	-0.541721	1	0.564103	1	-0.0393855	1	0.557808	1
chr15	79746236	79763076	Cbx7	-0.0583464	0.91795	-0.615041	0.2915	-0.629882	0.2614	0.0922071	0.86285	1.26659	0.0233
chr15	79826305	79845238	Pdgfb	0.780605	0.0552	1.34316	0.0005	-0.233502	0.53305	-0.188097	0.58955	-0.936788	0.03405
chr15	79908210	79913836	Rpl3	-0.0407664	0.92425	-0.253305	0.5277	-0.411767	0.3072	-0.00762298	0.9838	0.514436	0.2943
chr15	79908210	79913836	Snord43	0	1	0	1	0	1	0	1	0	1
chr15	79908210	79913836	Snord83b	0	0.07105	0	1	0	0.12985	0	1	0	0.0983
chr15	79921763	79949931	Syngr1	0.476345	0.5236	-0.546919	0.52495	-0.266446	0.7292	0.495971	0.4827	1.10222	0.21495
chr15	79963583	79992132	Tab1	-0.475127	0.18635	0.147433	0.644	0.0399389	0.89605	0.135684	0.6529	0.389619	0.26315
chr15	80004150	80045949	Mgat3	-0.392641	0.34	0.330085	0.35505	-0.310926	0.40735	0.150083	0.66835	-0.204794	0.60715
chr15	80064509	80083801	Smcr7l	-0.175833	0.61055	0.246623	0.4545	0.0280884	0.93075	-0.290768	0.3663	-0.249864	0.503
chr15	80085613	80087971	Atf4	0.199845	0.59505	0.330847	0.37315	0.208068	0.54985	0.240497	0.50335	-0.147796	0.73185
chr15	80091043	80094736	Rps19bp1	0.21266	0.5713	0.0729364	0.83865	0.152087	0.6672	-0.151622	0.6662	-0.203911	0.6174
chr15	80117667	80228722	Cacna1i	-1.78009	1	0.679729	1	0.1183	1	-2.14079	1	-3.21032	1
chr15	80282669	80390900	Enthd1	0	1	0	1	0	1	0	1	0	1
chr15	80453912	80480728	Grap2	2.53731	1	2.12546	1	1.6511	1	2.62279	1	2.78287	1
chr15	80502276	80530855	A430088P11Rik	1.74962	1	-2.39916	1	-0.743942	1	0.402049	1	0.320046	1
chr15	80502276	80530855	Fam83f	-0.452148	1	-4.87694	1	-1.0297	1	-0.543348	1	-0.0472497	1
chr15	80541742	80771516	Tnrc6b	0.0996148	0.83815	-0.524956	0.2406	-0.303665	0.38785	-0.41371	0.2139	-0.173725	0.6521
chr15	80778919	80801377	Adsl	0.271399	0.41635	-0.00121654	0.9969	0.261434	0.40875	0.18774	0.535	0.309188	0.4129
chr15	80808194	81021187	Mkl1	0.129528	0.7565	0.895873	0.02105	0.439662	0.23775	0.360434	0.3272	0.769361	0.08395
chr15	80808194	81021187	Sgsm3	-0.211118	0.72595	-0.446431	0.5066	-0.235258	0.6862	-0.0103917	0.98465	0.00556012	0.9939
chr15	81021282	81023187	4930483J18Rik	-0.0395422	1	1.47504	1	-1.64987	1	-0.150231	1	-1.65433	1
chr15	81065928	81069394	Mchr1	-2.58802	1	1.15507	1	0.364979	1	0.545059	1	0.899244	1
chr15	81149350	81191195	Slc25a17	0.217569	0.4962	-0.148869	0.64285	0.0690132	0.8273	0.0346739	0.9097	-0.0563671	0.87095
chr15	81195473	81230124	St13	0.119281	0.71925	-0.0282348	0.931	-0.112494	0.71705	-0.0302588	0.92015	0.00470089	0.99065
chr15	81230617	81285318	Dnajb7	0	1	-0.637183	1	0	1	0	1	0	1
chr15	81230617	81285318	Xpnpep3	-0.589237	0.2512	0.121867	0.78245	-0.0207224	0.9615	-0.459039	0.28145	-0.117882	0.8037
chr15	81296745	81306799	Rbx1	0.160756	0.62715	-0.100937	0.7489	0.141784	0.6541	0.0753615	0.7997	0.0820721	0.81105
chr15	81416643	81482507	Ep300	-0.649816	0.0492	0.172803	0.57845	0.258853	0.4085	0.0690502	0.81355	0.13875	0.6945
chr15	81494365	81527717	Chadl	-0.363967	0.8366	-0.413062	0.8033	-0.00223127	0.99135	0.590099	0.65855	0.476241	0.8005
chr15	81494365	81527717	L3mbtl2	-0.462809	0.23975	0.159055	0.67065	0.29492	0.41035	-0.101228	0.7776	-0.0818899	0.8412
chr15	81534677	81560349	Rangap1	0.209129	0.5343	0.0971591	0.76725	0.10307	0.7448	-0.203426	0.4991	-0.325901	0.4165
chr15	81575277	81626699	Zc3h7b	-0.228234	0.48945	-0.232104	0.46375	-0.34243	0.27325	-0.115023	0.6982	0.17369	0.6338
chr15	81633102	81657293	Tef	-0.122559	0.6963	-0.492999	0.126	-0.638967	0.04425	0.475787	0.11455	0.435257	0.23165
chr15	81678699	81688756	Tob2	0.273137	0.40605	0.57716	0.06725	0.224072	0.4671	0.259839	0.3864	-0.081477	0.80745
chr15	81694945	81702322	Phf5a	0.549408	0.09995	0.316667	0.32305	0.49722	0.1156	0.0490622	0.87055	-0.645541	0.06435
chr15	81702892	81756643	Aco2	0.0881085	0.81095	0.0822632	0.81455	-0.1394	0.69775	0.0469515	0.8895	0.253551	0.5429
chr15	81702892	81756643	Polr3h	0.0256995	0.97775	0.238775	0.78565	0.382126	0.63545	0.123729	0.89105	-0.0299412	0.98015
chr15	81767188	81781371	Csdc2	0.00859547	0.987	-0.409092	0.4133	-0.863443	0.0704	0.265554	0.53225	0.685898	0.14995
chr15	81781535	81791297	Pmm1	0.0841396	0.79335	-0.475752	0.1397	-0.466621	0.1307	0.406707	0.15805	0.539325	0.13635
chr15	81810969	81811993	1700029P11Rik	0	1	-0.373591	1	0	1	-0.370603	1	0	1
chr15	81822952	81846570	Desi1	0.220833	0.50625	0.127309	0.6982	0.44495	0.14105	0.226095	0.44685	0.0879258	0.8104
chr15	81846798	81870514	Xrcc6	0.0486256	0.88985	-0.278581	0.4065	0.0445702	0.8847	0.0932463	0.7605	0.134976	0.71575
chr15	81871774	81878028	Nhp2l1	0.337039	0.2967	0.310521	0.3385	0.362139	0.2376	-0.0167834	0.9569	-0.0553577	0.87815
chr15	81889580	81896968	4930407I10Rik	0	1	-1.3874	1	0	1	-1.3828	1	-1.18305	1
chr15	81900546	81957244	Mei1	0	1	0	1	0	1	0	1	0	1
chr15	81958351	81972632	Ccdc134	-0.323793	0.3809	-0.351311	0.33995	-0.0987164	0.7917	-0.133636	0.70105	-0.357839	0.3767
chr15	81977698	82035390	Mir33	0	1	0	1	0	1	0	1	0	1
chr15	81977698	82035390	Srebf2	0.0635647	0.86305	-0.0777494	0.82905	-0.735893	0.037	-0.208293	0.5316	-0.236031	0.54195
chr15	82037381	82043245	AI848285	1.78746	1	3.9144	1	1.2408	1	0.509721	1	0.716312	1
chr15	82052173	82054766	Tnfrsf13c	0.361587	1	1.58696	1	-0.426743	1	0.363211	1	-1.89108	1
chr15	82064205	82075177	Cenpm	0.502697	0.2758	0.120695	0.78635	-0.42044	0.3629	0.0297032	0.9446	-0.0524636	0.9172
chr15	82082826	82091183	1500009C09Rik	0	1	0	1	0	1	0	1	0	1
chr15	82105364	82124872	Sept3	-0.435279	1	-0.962265	1	-0.523774	1	-0.184569	1	0.286644	1
chr15	82129413	82144988	Wbp2nl	0	1	0	1	0	1	0	1	0	1
chr15	82159961	82169256	Naga	-0.297339	0.3633	-0.441687	0.1565	-0.753742	0.0187	0.255005	0.40065	0.388904	0.29475
chr15	82171608	82176140	Fam109b	-0.63587	0.1622	-0.43955	0.28595	-0.088881	0.8241	-0.0116	0.97715	-0.218429	0.62695
chr15	82176475	82179492	1500032L24Rik	0.136998	0.66305	0.136875	0.6615	-0.154905	0.6197	0.185492	0.52245	-0.0604573	0.8658
chr15	82180568	82184721	Ndufa6	0.368457	0.29145	0.13981	0.67935	-0.0363423	0.91715	0.578801	0.06545	0.988925	0.00665
chr15	82200956	82210690	Cyp2d22	-0.045998	0.92895	-0.421184	0.43825	-1.0125	0.0676	0.221661	0.6206	0.687265	0.1803
chr15	82219583	82224452	Cyp2d11	0	1	0	1	0	1	0	1	0	1
chr15	82233275	82237624	Cyp2d10	0	1	0	1	0	1	0	1	0	1
chr15	82282806	82287257	Cyp2d9	0	1	0.200699	1	0	1	0.202163	1	0	1
chr15	82385527	82389843	Cyp2d12	0	1	0	1	0	1	0	1	0	1
chr15	82446394	82451337	Cyp2d34	0	1	0	1	0	1	0	1	0	1
chr15	82467179	82472475	Cyp2d13	0	1	0	1	0	1	0	1	0	1
chr15	82519179	82520488	Cyp2d37-ps	0	1	0	1	0	1	0	1	0	1
chr15	82590262	82594552	Cyp2d40	0	1	0	1	0	1	0	1	0	1
chr15	82620536	82624675	Cyp2d26	0	1	0	1	-1.90377	1	0	1	0.342111	1
chr15	82639054	82742564	Gm20324	-0.363001	1	0.255437	0.90995	0.345699	0.8591	-0.00109465	0.98365	-0.434235	0.8054
chr15	82639054	82742564	Tbrg3	-1.06604	1	-0.587482	1	-0.450272	1	-3.67139	1	-0.865477	1
chr15	82639054	82742564	Tcf20	-0.00424997	0.98845	0.128658	0.6966	0.0498737	0.87775	-0.153633	0.61325	0.151266	0.67125
chr15	82827165	82863827	Nfam1	-0.597395	0.15315	-0.352102	0.37065	0.188539	0.60795	-0.0131833	0.9691	0.199465	0.64375
chr15	82930634	82953231	Rrp7a	0.137893	0.68855	0.235535	0.4709	0.0910344	0.78455	-0.0320312	0.9229	0.458382	0.27855
chr15	82930634	82953231	Serhl	0.0791743	0.9378	-0.511294	0.69715	-0.590576	0.56125	0.522489	0.5339	0.638725	0.54905
chr15	82956407	82979766	Poldip3	-0.141784	0.66205	0.149101	0.6254	-0.123769	0.68365	0.0115241	0.96995	-0.035832	0.9156
chr15	82980074	82980224	Rnu12	0	1	0	1	0	1	0	1	0	1
chr15	82983931	83002638	Cyb5r3	-0.370649	0.3811	-0.415428	0.2956	-0.746895	0.05845	-0.347724	0.37955	-0.226207	0.6422
chr15	83057151	83082204	A4galt	-0.684189	0.10085	0.428242	0.262	-0.263472	0.4674	0.885464	0.0095	1.17631	0.00435
chr15	83130169	83180677	Arfgap3	-0.171735	0.5924	-0.157706	0.6016	0.166154	0.57105	0.105844	0.70835	0.236742	0.49145
chr15	83184276	83197727	1700001L05Rik	-0.482414	0.40145	0.450314	0.3128	0.0150917	0.9747	0.34426	0.40695	-0.150843	0.77275
chr15	83206036	83295036	Pacsin2	-0.0436546	0.89055	0.124764	0.6906	0.0377024	0.90505	-0.166131	0.5722	0.135706	0.71345
chr15	83314198	83341337	Ttll1	-0.217087	0.6014	-0.0591311	0.88355	-0.0859811	0.8148	0.321629	0.35435	0.846896	0.0488
chr15	83357291	83375065	Bik	0.1087	1	0.622977	0.48955	-0.348118	0.6741	-0.145373	0.8623	0.47436	0.5414
chr15	83377226	83386141	Mcat	-0.0504354	0.9021	0.0169659	0.9673	0.279696	0.44255	0.198392	0.57065	0.509088	0.23005
chr15	83394002	83404633	Tspo	0.47746	0.1239	0.78846	0.01415	0.351233	0.26785	0.835703	0.0058	0.593266	0.0913
chr15	83405523	83425587	Ttll12	0.0153146	0.9608	0.183573	0.56045	0.133739	0.6746	0.158996	0.59155	0.344431	0.33765
chr15	83433012	83555469	Scube1	-0.47067	0.3979	0.379157	0.4301	0.736559	0.1048	0.181924	0.6837	-0.206328	0.6958
chr15	83610452	83688904	Mpped1	0	1	0	1	0	1	0	1	0	1
chr15	83697141	83895779	Efcab6	0	1	0	1	0	1	0	1	0	1
chr15	83906526	83936184	Sult4a1	0.453478	0.51145	0.75811	0.237	-0.124841	0.85125	0.269416	0.6568	-0.183392	0.79
chr15	83943050	83953605	Pnpla5	0	1	0	1	0	1	0	1	0	1
chr15	83998245	84019951	Pnpla3	-0.930511	1	-0.0360565	1	-0.0447298	1	-2.41269	1	-1.47144	1
chr15	84022662	84044733	Samm50	0.208321	0.5171	0.100173	0.75235	-0.00449923	0.9884	0.292134	0.3026	0.382139	0.2851
chr15	84062472	84146039	Parvb	-0.280775	0.4724	0.399846	0.2713	0.290771	0.42625	-0.346896	0.32925	-0.80802	0.06265
chr15	84155149	84173408	Parvg	-0.997127	1	0.931902	0.22755	-0.114246	1	-0.0487587	1	0.244391	1
chr15	84209632	84277527	1810041L15Rik	-0.449546	0.44145	-0.117325	0.79445	-0.690856	0.15725	-1.38953	0.01105	-2.81316	0.0003
chr15	84383827	84388253	Ldoc1l	-0.597607	0.15605	-0.198078	0.6156	-0.0908776	0.80745	0.55557	0.1092	0.892238	0.02245
chr15	84511427	84534103	Prr5	0.0864712	0.8081	1.39989	5.00E-05	0.485833	0.15125	0.0443813	0.8934	0.0315387	0.93365
chr15	84545058	84602637	Arhgap8	-0.700375	0.39865	1.39852	0.0266	0.882639	0.1082	0.113246	0.84605	-0.151465	0.81915
chr15	84545058	84602637	Gm20556	2.13825	1	3.54035	1	0.222701	1	1.76875	1	0.75875	1
chr15	84615805	84686559	Phf21b	-0.226386	1	0.806595	0.2101	1.03712	0.10465	-0.0531598	1	-0.325252	1
chr15	84753857	84773393	Nup50	0.138063	0.6651	0.584577	0.06645	0.357197	0.23575	0.128123	0.65145	0.0221685	0.9485
chr15	84776149	84818401	5031439G07Rik	-0.098632	0.76235	0.126968	0.68	-0.0913027	0.76715	-0.146462	0.61485	0.0204087	0.95565
chr15	84776149	84818401	Mir1249	0	1	0	1	0	1	0	1	0	1
chr15	84847570	84852990	Upk3a	0	1	0	1	0	1	0	1	0	1
chr15	84867491	84893260	Fam118a	-0.183278	0.59095	0.0427646	0.89765	0.0199363	0.9526	-0.503836	0.117	-0.697492	0.05555
chr15	84895118	84962387	Smc1b	-0.501612	1	-1.87729	1	-2.48555	1	-2.2014	1	-2.14636	1
chr15	84962528	84974999	Ribc2	-0.947588	1	-1.43147	1	-1.05955	1	0.221739	1	0.808688	0.24865
chr15	84979683	84986562	Gm19277	0	1	0	1	0	1	0	1	0	1
chr15	85036437	85116724	Fbln1	-0.127661	0.80825	-0.690264	0.1863	-0.612455	0.2388	-0.261342	0.54565	-0.606288	0.24295
chr15	85166810	85294266	Atxn10	0.038806	0.90845	-0.0318905	0.9205	-0.143355	0.64705	0.116243	0.7109	0.237436	0.5095
chr15	85323165	85333657	7530416G11Rik	-0.355323	1	-0.63028	1	-1.50913	1	-2.71482	1	-0.842368	1
chr15	85365866	85424138	AU022754	-3.33756	1	-0.581206	1	-1.0593	1	-3.69253	1	-2.55409	1
chr15	85365866	85424138	Wnt7b	-0.120464	1	-0.136303	1	-1.5798	1	-0.666915	1	-0.355231	1
chr15	85537032	85537127	Mirlet7c-2	-0.0286985	0.98095	0.995562	0.2752	-0.15694	0.85175	-0.233801	0.7504	1.25423	0.23135
chr15	85537748	85537833	Mirlet7b	-0.194711	0.79405	0.100748	0.8814	-0.196621	0.76715	-0.775313	0.20715	0.689489	0.33575
chr15	85565993	85637281	Ppara	-0.795677	1	-0.373555	1	-0.205689	1	0.0930198	1	0.617583	1
chr15	85637401	85642127	Cdpf1	-0.226686	0.58145	-0.673883	0.09755	-0.0624887	0.8699	0.168023	0.6365	-0.130808	0.7465
chr15	85645105	85652163	Pkdrej	-1.08807	1	-2.36259	1	-0.850271	1	-1.49898	1	-0.172782	1
chr15	85662733	85689252	Ttc38	-0.100804	0.8029	-1.1241	0.00735	-0.644406	0.1064	0.0709648	0.84555	0.749175	0.05595
chr15	85690136	85707003	Gtse1	0.224774	0.52405	0.6015	0.0828	0.330234	0.3264	0.449318	0.16605	-0.308536	0.4595
chr15	85709756	85727823	Trmu	-0.276499	0.5427	-0.0427348	0.9233	0.0630944	0.8752	0.0840671	0.8278	0.0952825	0.83525
chr15	85729187	85864207	Celsr1	0.270604	1	0.207012	1	-0.515672	1	-0.341049	1	-1.80991	1
chr15	85888124	85968066	Gramd4	-0.150171	0.65285	0.172383	0.5992	0.116856	0.7119	-0.176368	0.5712	-0.166386	0.6426
chr15	85969530	86016571	Cerk	0.246277	0.47485	0.371674	0.28165	0.191204	0.5686	0.259258	0.4127	0.216541	0.55495
chr15	86044888	86328933	Tbc1d22a	0.100446	0.76245	-0.312994	0.34715	-0.147397	0.6475	0.439521	0.1387	0.687476	0.0522
chr15	87374728	87589794	Fam19a5	-0.127864	0.7653	0.0809244	0.8473	-0.275737	0.48865	-0.534119	0.16285	-1.02016	0.02285
chr15	88145303	88203081	B230214G05Rik	0	1	0	1	0	1	0	1	0	1
chr15	88430731	88432099	Zdhhc25	0	1	0	1	0	1	0	1	0	1
chr15	88517464	88564649	Brd1	-0.425392	0.2	0.153639	0.62055	-0.0358371	0.91005	-0.284551	0.34775	-0.3442	0.3425
chr15	88582140	88614946	Zbed4	-0.341628	0.4043	0.202909	0.5857	0.367978	0.33475	-0.22718	0.5308	-0.573595	0.1663
chr15	88635672	88649748	Alg12	-0.1474	0.71095	-0.336384	0.38965	0.246622	0.50005	0.248867	0.4725	0.08498	0.8347
chr15	88650075	88657111	Creld2	-0.128859	0.68855	0.172796	0.57805	0.40723	0.18835	-0.140679	0.6403	-0.0306956	0.93205
chr15	88692623	88696156	Pim3	0.539496	0.10455	-0.208448	0.55775	-0.0566439	0.8655	0.13257	0.6716	-0.0347852	0.9218
chr15	88744327	88784848	Ttll8	0	1	0	1	0	1	0	1	0	1
chr15	88786313	88808983	Mlc1	1.33408	1	-1.02827	1	0.825954	1	1.02836	1	2.70591	1
chr15	88813423	88885582	Mov10l1	0	1	-1.41996	1	-1.84935	1	-0.239947	1	0	1
chr15	88890155	88901337	Panx2	0	1	0.87865	1	-0.648468	1	0.96864	1	0.192723	1
chr15	88901627	88906284	1810021B22Rik	-0.578013	0.5548	-1.27973	0.1591	-0.813694	0.3717	0.583994	0.4221	1.08996	0.15955
chr15	88906493	88917505	Trabd	-0.368242	0.2719	0.150176	0.6419	0.168624	0.5859	0.12174	0.68365	-0.100432	0.77285
chr15	88919536	88953580	1300018J18Rik	-0.427078	0.413	-0.66156	0.21235	-0.428	0.4101	-0.150283	0.73105	-0.15683	0.7654
chr15	88919536	88953580	Tubgcp6	-0.25586	0.57315	0.0483117	0.90475	-0.0198463	0.96055	-0.35121	0.39675	-0.411753	0.4147
chr15	88953732	88959130	Hdac10	-0.271495	0.50585	-0.502801	0.2158	-0.282736	0.4623	-0.167926	0.63765	-0.086769	0.8386
chr15	88961013	88971133	Mapk12	-0.105813	0.8084	-0.479894	0.268	0.121518	0.75975	-0.0804791	0.8405	0.0912033	0.82785
chr15	88972913	88980036	Mapk11	0.17844	0.6696	0.638905	0.07965	0.549602	0.14465	0.199409	0.5742	0.334161	0.39225
chr15	88985978	89011218	Plxnb2	-0.202962	0.57015	-0.228942	0.5205	-0.402758	0.24345	0.12375	0.71645	0.325217	0.45255
chr15	89012642	89026905	Dennd6b	-0.0231427	0.9643	-0.344207	0.51295	-0.676559	0.16945	-0.165282	0.7311	-0.133196	0.8025
chr15	89041989	89116692	Ppp6r2	-0.530759	0.1506	-0.973217	0.01105	-0.614626	0.07945	-0.218013	0.5157	-0.222597	0.57065
